path,type,description,uploadedAt
/images/math.jpg,image,"Math diagram","2025-07-01T10:00:00"
/images/physics.jpg,image,"Physics illustration","2025-07-02T11:30:00"
/images/biology.jpg,image,"Biology chart","2025-07-03T09:15:00"
/images/anna.jpg,image,"Profilbild von Anna","2025-07-04T08:30:00"
/images/thomas.jpg,image,"Profilbild von Thomas","2025-07-04T08:45:00"
/images/lisa.jpg,image,"Profilbild von Lisa","2025-07-04T09:00:00"
/images/max.jpg,image,"Profilbild von Max","2025-07-04T09:15:00"
/images/eva.jpg,image,"Profilbild von Eva","2025-07-04T09:30:00"
/images/algebra.jpg,image,"Algebra graph","2025-07-01T10:15:00"
/images/mechanics.jpg,image,"Newton's laws diagram","2025-07-02T11:00:00"
/images/genetics.jpg,image,"DNA helix illustration","2025-07-03T09:45:00"
/images/analysis.jpg,image,"Function plot","2025-07-04T14:20:00"
/images/thermodynamics.jpg,image,"Heat exchange process","2025-07-05T13:10:00"
/images/newton1.jpg,image,"Darstellung des Trägheitsgesetzes","2025-07-06T10:30:00"
/images/dna_base_pair.jpg,image,"DNA-Basenpaarung","2025-07-06T10:45:00"
/images/isobar.jpg,image,"Isobare Zustandsänderung","2025-07-06T11:00:00"
